Index,Ticket ID,Customer Plan,Ticket Subject,Ticket Text,Priority Hint
11,oNc9TJ2vt3,Free,Save AI prompts for the team,A teammate checked lead scoring prompts and found different teammates need the same instructions. The affected rows are mostly from Germany. This is blocking today's cleanup work. Can you help us apply a template to new files?,Medium
12,95l6lOwSZQ,Free,Password reset did not work,"Our team is working on the owner account, and we found the browser shows a permission error. The workspace has 26 active users. We can work around it today, but need a reliable fix. What is the safest way to transfer ownership?",Medium
13,Irx8Lvilaa,Starter,Reusable prompt templates,"While preparing research prompts for a deadline, we found we need approvals before changing prompts. We are using Edge on macOS. This started after we exported from Salesforce. The sales team is waiting for the cleaned file. What should we check before we lock approved prompts?",Medium
14,U74q6g81Iy,Pro,Export has been running too long,"While preparing an enriched company table for a deadline, we found the file is needed for a scheduled import. The workspace has 14 active users. I can share a sample row if needed. Could you help us retry the job?",Low
15,0oRXeFSNZn,Business,Broken accents after import,"While preparing Nordic characters for a deadline, we found the file mixes old and new rows. The file has 1,200 rows and 120 columns. The sales team is waiting for the cleaned file. What should we check before we fix the encoding?",Urgent
16,nnBQE8SGTe,Starter,Scheduled enrichment did not finish,"During a cleanup involving email addresses, we found the run stopped overnight. This started after we exported from Excel. The issue affects one workspace, but not another. Is there a way to restart the run?",Medium
17,Ojb2Mh3foU,Pro,CSV columns shifted after upload,"I need help with a lead file because we found quoted values from Excel. We are using Firefox on iPadOS. The file has 100,000 rows and 120 columns. This is blocking today's cleanup work. Is there a way to identify the failed rows?",Medium
18,oOKOft9TYe,Free,Broken accents after import,I need help with Spanish addresses because we found the export was saved on a Windows laptop. The upload file is a semicolon CSV created yesterday. The same workflow worked last week. What is the safest way to re-export the file correctly?,Urgent
19,UBa5CIqI8y,Enterprise,Reusable prompt templates,"The workflow related to translation prompts reported we want fewer copy-paste mistakes. The file has 24,000 rows and 28 columns. We are testing this on a small file before running the full import. Is there a way to apply a template to new files?",Urgent
20,SdHbifJzJp,Enterprise,Need help merging duplicate rows,We ran into an issue with leads from event lists: the duplicate groups look too strict. We are using Edge on Windows. We are testing this on a small file before running the full import. What should we check before we export a change log?,Medium
21,2AcYBU9UmZ,Free,Broken accents after import,"After checking Italian city names, we saw that the export was saved on a Windows laptop. This started after we exported from HubSpot. This is blocking today's cleanup work. Can you help us keep accents readable?",Urgent
22,0eOD2Gq0bP,Business,Export has been running too long,"Our team is working on an enriched company table, and we found the download link expired. The affected rows are mostly from the United States. We need this before a customer meeting. What is the safest way to export only visible columns?",Urgent
23,sMnzvMDCoM,Business,Billing amount looks wrong,"A teammate checked an old workspace and found the change was made last month. We are using Safari on iPadOS. The file has 100,000 rows and 28 columns. We can work around it today, but need a reliable fix. Please update billing before renewal and let me know the next step.",Urgent
24,gUxlfd2P1O,Business,Company matching missed records,A teammate checked domains with tracking parameters and found one source has old values. The workspace has 7 active users. The sales team is waiting for the cleaned file. What is the safest way to merge the best values?,High
25,NYA7VDJe2m,Starter,Webhook failed during enrichment,"We ran into an issue with email addresses: the run stopped overnight. This started after we exported from an internal admin tool. We are using Edge on Windows. We can work around it today, but need a reliable fix. Please disable auto-run temporarily and let me know the next step.",Low
26,8BRgq4zJRa,Pro,Large export is slow,"During a cleanup involving a filtered contact list, we found the export must include all columns. The workspace has 58 active users. We need this before a customer meeting. Please speed up the export and let me know the next step.",Low
27,1OSqiRLhfg,Business,Auto-run stopped processing rows,"A teammate checked LinkedIn URLs and found the run stopped overnight. The file has 1,000,000 rows and 12 columns. The sales team is waiting for the cleaned file. What is the safest way to disable auto-run temporarily?",Low
28,iIaP3WLuRs,Business,Duplicates are not detected,"Our team is working on contacts with two emails, and we found one source has old values. The file has 1,200 rows and 28 columns. I can share a sample row if needed. Is there a way to export a change log?",Medium
29,UwD7IAC39v,Free,Duplicates are not detected,"During a cleanup involving companies with legal suffixes, we found the duplicate groups look too strict. We are using Edge on Ubuntu. The affected rows are mostly from multiple EMEA offices. The same workflow worked last week. Please merge the best values and let me know the next step.",Medium
30,MXzG4nFMMh,Free,Scheduled enrichment did not finish,"During a cleanup involving LinkedIn URLs, we found the log shows a timeout. We are using Safari on macOS. The sales team is waiting for the cleaned file. What is the safest way to disable auto-run temporarily?",High
31,F5B90Bl1nj,Starter,Encoding issue in names,The workflow related to Portuguese product descriptions reported the file may be Windows-1252. The upload file is a Excel export created last Friday. The sales team is waiting for the cleaned file. What is the safest way to list the characters that changed?,Medium
32,M0UNUioLSx,Free,Special characters look wrong,"Our team is working on Nordic characters, and we found the file mixes old and new rows. This started after we exported from an internal admin tool. The sales team is waiting for the cleaned file. Please list the characters that changed and let me know the next step.",High
33,5MFpc9XRaY,Starter,Password reset did not work,"During a cleanup involving my admin account, we found the reset email never arrived. The workspace has 3 active users. The upload file is a semicolon CSV created after a scheduled sync. We need this before a customer meeting. What should we check before we resend the invitation?",High
34,O0NEVLsjr9,Business,Reusable prompt templates,"After checking cleaning prompts, we saw that we need approvals before changing prompts. The upload file is a semicolon CSV created yesterday. We are testing this on a small file before running the full import. What is the safest way to track prompt versions?",Medium
35,Os4igA4FAG,Business,Broken accents after import,I need help with French customer names because we found the file mixes old and new rows. We are using Firefox on Ubuntu. The workspace has 26 active users. Finance is waiting for an answer. Can you help us convert the file to clean UTF-8?,High
36,zKwcKK0vzJ,Free,Prompt library request,"After checking research prompts, we saw that we want fewer copy-paste mistakes. This started after we exported from Pipedrive. We need this before a customer meeting. Can you confirm whether you can compare prompt outputs?",Urgent
37,EAo59ZLnw9,Business,Reusable prompt templates,"I need help with lead scoring prompts because we found we need approvals before changing prompts. We are using Chrome on Windows. The file has 1,000,000 rows and 28 columns. We can work around it today, but need a reliable fix. What is the safest way to apply a template to new files?",Medium
38,CKqRiU3fxd,Free,Password reset did not work,"During a cleanup involving a contractor login, we found the browser shows a permission error. We are using Safari on Windows. We can work around it today, but need a reliable fix. Can you help us update the login email?",High
39,NAhdBWFZE3,Free,Large export is slow,"While preparing a deduplicated lead list for a deadline, we found the download link expired. The file has 24,000 rows and 47 columns. I can share a sample row if needed. Can you confirm whether you can confirm whether the export is still running?",Urgent
40,ihbellv9Jm,Enterprise,Prompt library request,"While preparing research prompts for a deadline, we found different teammates need the same instructions. This started after we exported from Shopify. This is blocking today's cleanup work. Can you confirm whether you can apply a template to new files?",Urgent
41,uEAQkr4tE7,Business,Scheduled enrichment did not finish,"While preparing new leads for a deadline, we found the log shows a timeout. The upload file is a Excel export created after a scheduled sync. The issue affects one workspace, but not another. Please explain the error and let me know the next step.",Low
42,A9TyEoQI1s,Business,Cannot access workspace,The workflow related to the owner account reported the reset email never arrived. We are using Chrome on Windows. The upload file is a UTF-8 CSV created this morning. The sales team is waiting for the cleaned file. Can you confirm whether you can resend the invitation?,Medium
43,Hc4wFEIuog,Enterprise,Broken accents after import,The workflow related to Italian city names reported UTF-8 worked in Excel but not after upload. We are using Firefox on Windows. The affected rows are mostly from Brazil. This is blocking today's cleanup work. What is the safest way to keep accents readable?,High
44,HA9G3tyqXU,Pro,CSV columns shifted after upload,"After checking a vendor list, we saw that unescaped quotes in product descriptions. The workspace has 26 active users. The file has 1,200 rows and 120 columns. We need this before a customer meeting. Can you help us recover the original columns?",Medium
45,oz40yi1nzH,Starter,Webhook failed during enrichment,"While preparing phone numbers for a deadline, we found only some rows were processed. This started after we exported from Excel. The file has 24,000 rows and 47 columns. The issue affects one workspace, but not another. Please show failed rows and let me know the next step.",High
46,kWSF3wVeP8,Free,Reusable prompt templates,A teammate checked classification prompts and found we need approvals before changing prompts. This started after we exported from Salesforce. We are testing this on a small file before running the full import. Is there a way to track prompt versions?,Low
47,ANid2c3sSH,Business,Special characters look wrong,"Our team is working on Spanish addresses, and we found the export was saved on a Windows laptop. The file has 8,500 rows and 120 columns. The sales team is waiting for the cleaned file. Is there a way to fix the encoding?",Medium
48,uxErDuX1fP,Starter,CSV columns shifted after upload,I need help with an order history file because we found tabs copied from Google Sheets. The workspace has 14 active users. We are testing this on a small file before running the full import. What is the safest way to normalize the delimiter?,Medium
49,w0PPJZXAXw,Business,Rows split into extra columns,"After checking an order history file, we saw that commas in the notes field. The affected rows are mostly from Germany. The workspace has 7 active users. I can share a sample row if needed. Can you help us repair the import?",Urgent
50,luYzr0tVQy,Free,Invoice has extra seats,"During a cleanup involving two removed users, we found the change was made last month. The upload file is a UTF-8 CSV created from a nightly export. The workspace has 3 active users. We can work around it today, but need a reliable fix. Please send a revised receipt and let me know the next step.",High
51,vBrEUPoCxs,Pro,Cannot access workspace,"Our team is working on the owner account, and we found the old email is no longer active. We are using Chrome on Windows. The affected rows are mostly from multiple EMEA offices. The same workflow worked last week. Is there a way to check the SSO configuration?",Medium
52,pnA8pAb1Dr,Free,Large export is slow,"We ran into an issue with a deduplicated lead list: the download link expired. The workspace has 7 active users. The file has 1,000,000 rows and 120 columns. We are testing this on a small file before running the full import. What should we check before we speed up the export?",Low
53,702yinOCXt,Free,Unexpected charge on invoice,"During a cleanup involving two removed users, we found the card was charged this morning. The file has 100,000 rows and 47 columns. We need this before a customer meeting. Can you confirm whether you can confirm the active seats?",High
54,NBvUaTt2e3,Pro,Locked out after email change,We ran into an issue with a contractor login: the browser shows a permission error. The upload file is a CSV created yesterday. The sales team is waiting for the cleaned file. Can you confirm whether you can check the SSO configuration?,High
55,iiwyrEAbuh,Business,Reusable prompt templates,"During a cleanup involving lead scoring prompts, we found we test several LLM providers. We are using Chrome on Windows. The sales team is waiting for the cleaned file. Can you help us track prompt versions?",Urgent
56,B3aStWwY5l,Business,Save AI prompts for the team,"We ran into an issue with cleaning prompts: we test several LLM providers. The file has 24,000 rows and 28 columns. It is not urgent, but it affects several users. Is there a way to apply a template to new files?",High
57,UBBBXW19ei,Starter,Unexpected charge on invoice,A teammate checked an annual plan upgrade and found the receipt does not match our purchase order. This started after we exported from HubSpot. The affected rows are mostly from Brazil. The same workflow worked last week. Please send a revised receipt and let me know the next step.,Medium
58,9DYkvjl1DY,Business,Cannot access workspace,"After checking a teammate account, we saw that the invite link has expired. The affected rows are mostly from Canada. The workspace has 58 active users. We are testing this on a small file before running the full import. What should we check before we restore access?",High
59,ycSNBBQ6Lk,Pro,Cannot access workspace,"After checking a contractor login, we saw that SSO redirects to the wrong workspace. We are using Safari on macOS. We are testing this on a small file before running the full import. What should we check before we restore access?",Medium
60,muv32h7dqe,Free,Export has been running too long,The workflow related to a 1M-row CSV reported the file is needed for a scheduled import. This started after we exported from Pipedrive. The sales team is waiting for the cleaned file. Please help me split the file and let me know the next step.,Low
61,Dxu6ev08xE,Pro,Need help merging duplicate rows,"A teammate checked accounts from two CRMs and found one source has old values. The affected rows are mostly from Spain. It is not urgent, but it affects several users. Please merge the best values and let me know the next step.",High
62,3HwcDFLcXa,Enterprise,Password reset did not work,"The workflow related to a new SSO user reported the old email is no longer active. We are using Edge on macOS. The issue affects one workspace, but not another. Is there a way to update the login email?",High
63,9XCuJkh6vU,Starter,Broken accents after import,"I need help with Portuguese product descriptions because we found the export was saved on a Windows laptop. The upload file is a UTF-8 CSV created yesterday. The issue affects one workspace, but not another. Can you confirm whether you can re-export the file correctly?",High
64,CuHsHGY5AP,Starter,Export has been running too long,"After checking an enriched company table, we saw that the browser tab was closed by mistake. This started after we exported from Shopify. The issue affects one workspace, but not another. Is there a way to retry the job?",Urgent
65,wNh6f9THSR,Business,Locked out after email change,We ran into an issue with the owner account: the browser shows a permission error. The upload file is a UTF-8 CSV created during a migration test. We need this before a customer meeting. What should we check before we resend the invitation?,Low
66,m0jMprDlbw,Enterprise,Password reset did not work,I need help with a new SSO user because we found the browser shows a permission error. This started after we exported from Excel. We need this before a customer meeting. Could you help us update the login email?,High
67,cxU0mie7Ld,Business,Auto-run stopped processing rows,"Our team is working on phone numbers, and we found auto-run did not pick up new rows. The affected rows are mostly from Germany. Finance is waiting for an answer. Could you help us resume from the failed rows?",Low
68,4PnVcFQNtN,Enterprise,Export has been running too long,"Our team is working on an enriched company table, and we found the export must include all columns. The file has 1,000,000 rows and 47 columns. This started after we exported from Excel. This is blocking today's cleanup work. Is there a way to confirm whether the export is still running?",Urgent
69,a6WX07TmnZ,Enterprise,Reusable prompt templates,"After checking support triage prompts, we saw that different teammates need the same instructions. This started after we exported from an internal admin tool. I can share a sample row if needed. Is there a way to lock approved prompts?",Medium
70,rQB3qTuJFG,Free,Company matching missed records,"During a cleanup involving companies with legal suffixes, we found one source has old values. We are using Chrome on Ubuntu. This started after we exported from Google Sheets. This is blocking today's cleanup work. Is there a way to ignore empty fields during merge?",Low
71,S111lp3CKj,Free,Rows split into extra columns,"The workflow related to an order history file reported semicolon delimiters from our ERP. We are using Edge on macOS. This started after we exported from Google Sheets. The issue affects one workspace, but not another. What is the safest way to recover the original columns?",Medium
72,Xgg9zVZLFy,Enterprise,Unexpected charge on invoice,The workflow related to a canceled add-on reported the card was charged this morning. This started after we exported from HubSpot. I can share a sample row if needed. Could you help us apply the credit to the next invoice?,Low
73,cKQSpFXuvE,Business,Encoding issue in names,"While preparing French customer names for a deadline, we found the export was saved on a Windows laptop. We are using Safari on macOS. This is blocking today's cleanup work. Can you help us detect the right file encoding?",Urgent
74,P8TQRRCxnh,Business,Password reset did not work,A teammate checked a contractor login and found SSO redirects to the wrong workspace. The affected rows are mostly from the United Kingdom. Finance is waiting for an answer. Please check the SSO configuration and let me know the next step.,Medium
75,LkXhz5K4aa,Starter,Unexpected charge on invoice,We ran into an issue with a duplicate subscription: the renewal date is tomorrow. We are using Chrome on iPadOS. The sales team is waiting for the cleaned file. Can you confirm whether you can update billing before renewal?,High
76,WLmLgpqRmC,Starter,Company matching missed records,The workflow related to leads from event lists reported one source has old values. The workspace has 3 active users. The affected rows are mostly from France. The same workflow worked last week. Could you help us ignore empty fields during merge?,Low
77,7zBGaYhrRX,Free,Billing amount looks wrong,"While preparing two removed users for a deadline, we found the invoice was already sent to finance. We are using Safari on Ubuntu. It is not urgent, but it affects several users. Is there a way to apply the credit to the next invoice?",High
78,kEpdom50My,Starter,Reusable prompt templates,I need help with cleaning prompts because we found we want fewer copy-paste mistakes. This started after we exported from Google Sheets. The workspace has 3 active users. This is blocking today's cleanup work. Can you confirm whether you can apply a template to new files?,Urgent
79,6bRjWssE9u,Business,Commas broke my import,We ran into an issue with an order history file: quoted values from Excel. This started after we exported from Airtable. Finance is waiting for an answer. Could you help us normalize the delimiter?,Low
80,p4Ae1APily,Free,Broken accents after import,"After checking Nordic characters, we saw that some rows came from an old CRM export. This started after we exported from Salesforce. The file has 1,000,000 rows and 28 columns. It is not urgent, but it affects several users. What should we check before we fix the encoding?",High
81,C8PDlrKUHj,Pro,Large export is slow,"The workflow related to a deduplicated lead list reported the file is needed for a scheduled import. The file has 1,200 rows and 120 columns. We are using Edge on iPadOS. Finance is waiting for an answer. Can you help us speed up the export?",Low
82,sKHlW55z6Q,Starter,CSV columns shifted after upload,"While preparing a customer export for a deadline, we found commas in the notes field. We are using Chrome on iPadOS. We need this before a customer meeting. Is there a way to identify the failed rows?",Urgent
83,l2RzTI4I10,Pro,Invoice has extra seats,"While preparing a canceled add-on for a deadline, we found the change was made last month. We are using Safari on Windows. It is not urgent, but it affects several users. What is the safest way to correct the invoice?",Medium
84,d3eScmEYhN,Starter,Password reset did not work,"After checking a new SSO user, we saw that SSO redirects to the wrong workspace. We are using Chrome on macOS. The workspace has 58 active users. We are testing this on a small file before running the full import. Is there a way to resend the invitation?",High
85,hUFRz9RMpi,Starter,Locked out after email change,The workflow related to a teammate account reported SSO redirects to the wrong workspace. This started after we exported from Pipedrive. We need this before a customer meeting. Is there a way to send a recovery link?,Low
86,qzInfmT9zG,Enterprise,Prompt library request,"After checking support triage prompts, we saw that we need approvals before changing prompts. The upload file is a tab-separated file created after a scheduled sync. It is not urgent, but it affects several users. What should we check before we compare prompt outputs?",High
87,SCaL12QvlK,Business,Billing amount looks wrong,"We ran into an issue with an old workspace: the renewal date is tomorrow. The file has 100,000 rows and 120 columns. The upload file is a UTF-8 CSV created from a nightly export. The same workflow worked last week. What should we check before we explain the charge?",Low
88,uNvPU3x5P9,Business,Auto-run stopped processing rows,"While preparing email addresses for a deadline, we found auto-run did not pick up new rows. The upload file is a UTF-8 CSV created this morning. We need this before a customer meeting. Could you help us avoid duplicate charges?",Urgent
89,TOaogk0wpH,Starter,Large export is slow,The workflow related to an enriched company table reported the browser tab was closed by mistake. We are using Firefox on macOS. The workspace has 14 active users. The same workflow worked last week. Can you help us help me split the file?,Low
90,rbW4pxNySL,Enterprise,Prompt library request,"The workflow related to classification prompts reported we run the same prompt every week. The workspace has 7 active users. It is not urgent, but it affects several users. Is there a way to lock approved prompts?",High
91,pIJIsu1d4A,Business,Scheduled enrichment did not finish,"I need help with website URLs because we found the log shows a timeout. The upload file is a tab-separated file created from a nightly export. It is not urgent, but it affects several users. What should we check before we disable auto-run temporarily?",High
92,arZN0ToVvF,Starter,Reusable prompt templates,"I need help with translation prompts because we found different teammates need the same instructions. This started after we exported from Google Sheets. It is not urgent, but it affects several users. Could you help us lock approved prompts?",Low
93,iPt89RJN5O,Pro,Reusable prompt templates,"The workflow related to cleaning prompts reported we want fewer copy-paste mistakes. The workspace has 14 active users. It is not urgent, but it affects several users. Could you help us track prompt versions?",High
94,Nui9YHmFpx,Free,Reusable prompt templates,"I need help with translation prompts because we found we test several LLM providers. The workspace has 58 active users. The issue affects one workspace, but not another. What is the safest way to track prompt versions?",Medium
95,ceAQQAaCV0,Pro,Broken accents after import,"While preparing Spanish addresses for a deadline, we found some rows came from an old CRM export. This started after we exported from Excel. I can share a sample row if needed. Can you help us convert the file to clean UTF-8?",Medium
96,GFBvwR6F1l,Business,Encoding issue in names,"After checking smart quotes, we saw that the file may be Windows-1252. We are using Safari on iPadOS. The affected rows are mostly from Canada. We need this before a customer meeting. What is the safest way to list the characters that changed?",High
97,pYPuuoDYAI,Pro,Unexpected charge on invoice,"Our team is working on a canceled add-on, and we found the receipt does not match our purchase order. We are using Chrome on Ubuntu. The sales team is waiting for the cleaned file. Is there a way to correct the invoice?",Medium
98,Zdf2OVw3NF,Business,Scheduled enrichment did not finish,"I need help with phone numbers because we found the log shows a timeout. The upload file is a CSV created during a migration test. The issue affects one workspace, but not another. Can you confirm whether you can show failed rows?",Medium
99,JE0v1akTDo,Enterprise,Large export is slow,"After checking a 1M-row CSV, we saw that the progress bar has not moved. The file has 1,000,000 rows and 28 columns. We can work around it today, but need a reliable fix. Could you help us help me split the file?",Low
100,Noxbo92X4a,Business,Encoding issue in names,I need help with currency symbols because we found UTF-8 worked in Excel but not after upload. The upload file is a UTF-8 CSV created from a nightly export. We are testing this on a small file before running the full import. What should we check before we re-export the file correctly?,Low
101,a3lVyIh1xx,Enterprise,Prompt library request,"While preparing lead scoring prompts for a deadline, we found different teammates need the same instructions. We are using Chrome on iPadOS. This started after we exported from Shopify. The sales team is waiting for the cleaned file. What should we check before we share prompts with the workspace?",High
102,D4FMQxAqIY,Free,Export has been running too long,"While preparing a 1M-row CSV for a deadline, we found the download link expired. The affected rows are mostly from Canada. Finance is waiting for an answer. Could you help us send a fresh download link?",High
103,vpYYzMUPW0,Pro,Export has been running too long,"While preparing a full product table for a deadline, we found the browser tab was closed by mistake. The workspace has 14 active users. We can work around it today, but need a reliable fix. Could you help us help me split the file?",High
104,wIjNToxVrW,Enterprise,Broken accents after import,"During a cleanup involving smart quotes, we found UTF-8 worked in Excel but not after upload. We are using Edge on macOS. The workspace has 58 active users. The issue affects one workspace, but not another. Can you confirm whether you can list the characters that changed?",High
105,eRqDHvwhex,Free,Webhook failed during enrichment,"Our team is working on LinkedIn URLs, and we found only some rows were processed. The affected rows are mostly from France. We need this before a customer meeting. Is there a way to avoid duplicate charges?",Medium
106,0COarSqJTG,Enterprise,CSV columns shifted after upload,"While preparing an order history file for a deadline, we found semicolon delimiters from our ERP. The affected rows are mostly from Germany. We can work around it today, but need a reliable fix. Can you help us keep multiline notes in one column?",Low
107,GxOT7Cj9qq,Enterprise,Billing amount looks wrong,"After checking an old workspace, we saw that the change was made last month. The workspace has 58 active users. Finance is waiting for an answer. Can you confirm whether you can apply the credit to the next invoice?",Urgent
108,gcRejp5lNj,Pro,Export has been running too long,The workflow related to an enriched company table reported the browser tab was closed by mistake. The affected rows are mostly from Germany. The upload file is a semicolon CSV created this morning. The same workflow worked last week. What is the safest way to retry the job?,Medium
109,mV907uV3iY,Pro,Broken accents after import,"After checking Portuguese product descriptions, we saw that some rows came from an old CRM export. We are using Safari on iPadOS. The affected rows are mostly from France. The sales team is waiting for the cleaned file. Is there a way to detect the right file encoding?",High
110,dwzmg6MSMQ,Starter,Reusable prompt templates,"Our team is working on research prompts, and we found we run the same prompt every week. The file has 100,000 rows and 12 columns. Finance is waiting for an answer. Please lock approved prompts and let me know the next step.",Medium
111,9Ox8vbuPjg,Business,Save AI prompts for the team,"Our team is working on research prompts, and we found we need approvals before changing prompts. The upload file is a CSV created last Friday. Finance is waiting for an answer. What is the safest way to lock approved prompts?",Low
112,mkUpUksMw6,Pro,Rows split into extra columns,The workflow related to a supplier spreadsheet reported line breaks inside addresses. The upload file is a tab-separated file created last Friday. This started after we exported from HubSpot. We need this before a customer meeting. Is there a way to normalize the delimiter?,Medium
113,Ci1yQaxPUk,Starter,Encoding issue in names,"Our team is working on French customer names, and we found the file may be Windows-1252. The workspace has 14 active users. It is not urgent, but it affects several users. What is the safest way to convert the file to clean UTF-8?",Urgent
114,vHxU4PPmAp,Enterprise,Encoding issue in names,The workflow related to Spanish addresses reported the file mixes old and new rows. This started after we exported from Airtable. I can share a sample row if needed. Please detect the right file encoding and let me know the next step.,Low
115,Z9x0ovGNC9,Business,Broken accents after import,We ran into an issue with German company names: the export was saved on a Windows laptop. The affected rows are mostly from Spain. We need this before a customer meeting. Please list the characters that changed and let me know the next step.,High
116,d0yDlgCWUi,Enterprise,Company matching missed records,"Our team is working on names with typos, and we found some URLs include tracking parameters. The workspace has 58 active users. The affected rows are mostly from Brazil. We are testing this on a small file before running the full import. Could you help us export a change log?",High
117,cs2PLhALbH,Starter,Auto-run stopped processing rows,"After checking new leads, we saw that auto-run did not pick up new rows. We are using Edge on macOS. The upload file is a tab-separated file created from a nightly export. I can share a sample row if needed. Please avoid duplicate charges and let me know the next step.",Low
118,p0dKojXWw1,Pro,Cannot access workspace,"While preparing our shared workspace for a deadline, we found the reset email never arrived. The file has 24,000 rows and 28 columns. We are testing this on a small file before running the full import. What should we check before we transfer ownership?",Urgent
119,JhPOOcE3sl,Enterprise,Duplicates are not detected,"The workflow related to domains with tracking parameters reported one source has old values. The file has 1,200 rows and 47 columns. Finance is waiting for an answer. What should we check before we preview duplicate groups?",Low
120,QVSzPpgnPH,Starter,Need CSV export before meeting,"While preparing a 200k-row collection for a deadline, we found the progress bar has not moved. The upload file is a Excel export created last Friday. The sales team is waiting for the cleaned file. What should we check before we speed up the export?",High
121,W9Mm3gUhBX,Free,Encoding issue in names,"Our team is working on Italian city names, and we found the file may be Windows-1252. The file has 8,500 rows and 47 columns. I can share a sample row if needed. Can you confirm whether you can detect the right file encoding?",Medium
122,1rF2iWp9C4,Enterprise,Encoding issue in names,"After checking Portuguese product descriptions, we saw that the file may be Windows-1252. The upload file is a UTF-8 CSV created from a nightly export. We need this before a customer meeting. What should we check before we convert the file to clean UTF-8?",Medium
123,RuvxCi4CA2,Pro,Save AI prompts for the team,"While preparing cleaning prompts for a deadline, we found we test several LLM providers. The file has 1,200 rows and 120 columns. The sales team is waiting for the cleaned file. Could you help us save reusable templates?",Urgent
124,ENzKgh5iQb,Starter,Billing amount looks wrong,"Our team is working on two removed users, and we found the receipt does not match our purchase order. This started after we exported from an internal admin tool. We are testing this on a small file before running the full import. Please confirm the active seats and let me know the next step.",Low
125,ONp3rzb42e,Enterprise,Need CSV export before meeting,"After checking an enriched company table, we saw that the browser tab was closed by mistake. The upload file is a UTF-8 CSV created during a migration test. The issue affects one workspace, but not another. What is the safest way to confirm whether the export is still running?",High
126,RYek8sTnmL,Enterprise,CSV columns shifted after upload,"A teammate checked an order history file and found empty columns near the end. The file has 250,000 rows and 120 columns. We are using Edge on Ubuntu. The issue affects one workspace, but not another. Could you help us repair the import?",Urgent
127,fjKhQGDJRu,Business,Large export is slow,"After checking a filtered contact list, we saw that the browser tab was closed by mistake. The affected rows are mostly from Brazil. This started after we exported from Google Sheets. Finance is waiting for an answer. Could you help us send a fresh download link?",Medium
128,RxToaC4eg7,Enterprise,Encoding issue in names,"While preparing Spanish addresses for a deadline, we found the file mixes old and new rows. We are using Safari on macOS. The same workflow worked last week. Could you help us convert the file to clean UTF-8?",High
129,hB0YtFjKV2,Business,Auto-run stopped processing rows,The workflow related to phone numbers reported credits were consumed before the failure. We are using Safari on iPadOS. We are testing this on a small file before running the full import. Can you confirm whether you can explain the error?,High
130,Ke3ZmYmuux,Pro,Webhook failed during enrichment,"I need help with email addresses because we found auto-run did not pick up new rows. The workspace has 26 active users. This started after we exported from Salesforce. It is not urgent, but it affects several users. Is there a way to restart the run?",Low
131,qdxQhiDi8b,Pro,Auto-run stopped processing rows,"During a cleanup involving new leads, we found the log shows a timeout. The affected rows are mostly from Spain. We need this before a customer meeting. Could you help us explain the error?",Urgent
132,6wNRolUIZt,Starter,Locked out after email change,"We ran into an issue with the owner account: SSO redirects to the wrong workspace. This started after we exported from Pipedrive. It is not urgent, but it affects several users. Could you help us restore access?",Medium
